TF,target,importance
Bcl11b,Ptprcap,7.617268600669685
Mycl,Ifi205,7.602233160608876
Yod1,Epcam,7.598683947103709
Anxa1,Prtn3,7.557077943135404
Yod1,Cd81,7.539077096292001
Foxm1,Ttk,7.522620185416477
Elf5,Cyp2b10,7.522574657727533
Arg1,Atp1b1,7.512121728705193
Bcl11b,Gimap4,7.506171377332098
Bcl11b,Ms4a6b,7.49237418673159
Arg1,Cldn7,7.48304727425229
Jdp2,Plat,7.476794528281099
Zeb2,Krt19,7.456472662093727
Gata6,Ddah2,7.4542371394850635
Egr2,Gm19951,7.44524606067
Nme1,Ptma,7.405989796340053
Anxa1,S100a10,7.402467078252649
Ebf1,Pax5,7.3974108126183875
Bcl11b,Gimap1,7.373532126731207
Irf7,Lyz2,7.371857323628412
Bcl11b,Klrd1,7.35926687331742
Tcf7,Bcl2,7.357589332754598
H2afz,C4b,7.3495964532538505
Arg1,Ephb3,7.330165487706185
Yod1,Ces2g,7.329173935162365
Ezh2,Nrarp,7.318293140675415
Ezh2,Sparcl1,7.30763931814487
Gata6,Sftpc,7.305480541232784
Irf7,Zeb2,7.3039420918316535
Arg1,Fxyd3,7.303052456250859
Ebf1,Bank1,7.301285160742017
Mef2c,Pax5,7.254377915404179
Ahr,Cyp51,7.252875391055549
Nr4a1,Dio2,7.2497701332318005
Bhlhe41,Cd177,7.228575655256591
Nr1h3,Layn,7.213857146043089
Arg1,S100a7a,7.200182637091746
Gata6,Selenbp1,7.185762611744282
Irf8,Lpl,7.172454083440526
Ehf,Ftl1,7.163324970966144
Ehf,Nrarp,7.130571539911967
Atf3,Cd34,7.052034265731495
Irf8,Il11ra1,7.049999664589802
Foxq1,Hspb8,7.0475620964926815
Edn1,Spink2,7.0341851652746135
Irf8,Asgr2,7.032668509122965
Arg1,Nccrp1,7.016489657556513
Arg1,2610528A11Rik,7.0052975182294395
Id2,Cxcr1,6.996657600770914
Ezh2,Serping1,6.995655159363977
Irf8,Crip1,6.991010484564932
Arg1,Ier3,6.989391787859973
Arg1,Magi3,6.959582203135035
Irf7,Cdkn2a,6.954522778176944
Irf7,Rtp4,6.9462624204818715
Irf7,Cxcl17,6.938445136572903
H2afz,Hmmr,6.904445894097917
Bcl11b,Sh2d1a,6.903265226552986
Celf4,Crlf1,6.886424903670818
Egr1,Ptgs2,6.884764822141231
Irf8,Psen2,6.873908163596435
Dab2,H2-DMb1,6.860369040101872
Jdp2,Tspan1,6.851410072292107
Dab2,Blvra,6.848346610195879
Arg1,Spns3,6.848322576098459
Foxm1,Tk1,6.843942088693524
Tcf7,Il2rb,6.843689527589495
Irf7,Sdc4,6.8435203074109845
Irf7,Tacstd2,6.835120459483406
Dnmt3a,Cenph,6.83446714286028
Irf8,Zmynd15,6.8264800932760465
Dab2,Tuba1b,6.820767326813437
Hspa5,Herpud1,6.817038186054414
Irf7,Ifi47,6.813265844236482
Las1l,Pcolce,6.798712585179997
Arg1,Fam57a,6.793331764454006
Irf8,Lgals1,6.773656777197518
Irx3,Cldn10,6.7712385809171
Irf7,Rgs1,6.739610830819433
Jdp2,Irf7,6.738884378453629
Tcf4,Cdh11,6.738415316934741
Zeb2,Ftl1,6.73531560408782
Irf7,Tlcd2,6.729934138849913
Hspa5,Chac1,6.708666832009222
Dab2,Camk1,6.701959804934733
H2afz,Tff2,6.701108162818653
Irf7,Gbp4,6.694722654675259
Bcl11b,Lat,6.69114312521071
Irf7,G0s2,6.688748422895405
Id2,Ifrd1,6.685025095825896
Ezh2,Eln,6.681108780021322
Jdp2,Dnajb1,6.662690724969636
Irf8,Dnmt3a,6.648772869263372
Ehf,Epcam,6.638329024892273
Fhl2,Medag,6.6356278804784035
Irf7,Lrrc26,6.611595635967436
Irf7,Slco2a1,6.610977703782886
Ddit3,Tff2,6.610684622810265
Dnmt3a,Mamdc2,6.6076395551770695
Ddit3,Ndrg1,6.581511180501377
Ddit3,Chac1,6.568365467359672
H2afz,Pimreg,6.551460444561884
Fhl2,Rnase6,6.551011756278595
Nfib,Scgb3a1,6.543122965659194
Tcf7,S1pr1,6.528737695341114
Lef1,Bcl11b,6.5175954287259446
Bcl11b,Fabp3,6.514572647334227
