TF,target,importance
Ebf1,Siglecg,9.247138153217376
Ets1,Ptma,9.240777963748368
Anxa1,Ifitm6,9.238937487755521
Irf8,Rps2,9.195240102688924
Pou2f2,Mafb,9.182405324604554
Lef1,Dusp10,9.170319694424196
Irf8,Rpl3,9.165736366264666
Pou2f2,Plekho1,9.150196924625178
Ebf1,Ms4a1,9.133674603023868
Pou2f2,Ccdc88a,9.130647303469114
Nr2f2,Gata6,9.11371045297368
Mafb,Lamp1,9.104657971069525
Ehf,Lypd2,9.104015827816736
Ehf,AU021092,9.098871740410598
Foxm1,Cep55,9.098300623277831
Bcl11b,Ets1,9.07444583350565
Irf8,Klre1,9.063645104363964
Ebf1,Pxdc1,9.061553904934659
Acaa1b,Ear1,9.06128054859545
Pou2f2,Smpdl3a,9.054431329784032
Ets1,Thy1,9.033787785342223
Ebf1,Bank1,9.00643143695878
Mafb,Rassf4,9.001679341660175
Lef1,4930523C07Rik,9.000840856131429
Anxa1,Cdc42ep3,9.000410944845775
Anxa1,Dgat2,8.99509061993694
Fhl2,Klhdc8a,8.981968491591113
Ets1,4930523C07Rik,8.96608161413484
Tcf4,Cadm1,8.95752586970219
Nfib,Cd34,8.948199582347337
Arg1,Apoc4,8.931348785377011
Mafb,Smpdl3a,8.920064131390347
Gadd45a,Anxa1,8.906535625814428
Gadd45a,Asprv1,8.906071740208958
Mef2c,S100a4,8.899293064566582
Foxm1,Prr11,8.884056966556933
Foxq1,Plxna1,8.878805734841471
Pou2af1,Iglc3,8.878358730280024
Egr1,Mcpt8,8.873512523014327
Ets1,Rpl3,8.83831941319777
Pou2f2,Rps2,8.808467863712805
Ets1,Skap1,8.806614710290061
Mxd3,Sgo1,8.79990549980589
Ehf,Cbr2,8.790533483061566
Acaa1b,Car4,8.786472196081283
Acaa1b,Abcg1,8.77855958401563
Canx,Npc2,8.77318906025004
Canx,S100a10,8.769676998772772
Ehf,Muc5b,8.766532931997844
Irf8,Gzmb,8.765169610632682
Foxm1,Hmmr,8.737284929579452
Ebf1,Igkc,8.717003491167015
Bcl11b,Mettl17,8.716639913049384
Irf8,Ctsc,8.68573532595553
H2afz,Cdca8,8.673875587833107
Mafb,Napsa,8.64979598791248
Irf8,Klrb1c,8.640569138416657
Dab2,Atp6v0d2,8.626746455741555
Nfib,Plpp3,8.616006731064275
Mafb,Apoe,8.60800993833041
Klf4,mt-Nd1,8.592945915510644
Ezh2,Ect2,8.591802784193009
Tcf7,Trbc2,8.58536108121716
Zeb2,Psap,8.582325545241403
Nme1,Ifitm1,8.570559795698012
Tcf7,Ms4a4b,8.556078422552101
Elf5,Itih2,8.55512982138352
Klf4,Rps2,8.542449752735978
Tcf7,Itga6,8.54089976622654
Nr2f2,Ltbp4,8.53791018717439
Nfib,Pmp22,8.534581915848353
Canx,Emp3,8.501548963989658
Irf8,Napsa,8.5013356942463
Ebf1,Iglc2,8.485061150836316
Odc1,Stab1,8.472405184790226
H2afz,S100a10,8.469789066089943
Ehf,Wfdc1,8.46727748084244
Mafb,Cybb,8.465736321452434
H2afz,Crip1,8.46538845666604
Anxa1,Arhgap25,8.456093296383381
Irf8,Npc2,8.438085592302905
Ebf1,Rasgrp3,8.436498681084851
Egr1,Retnlg,8.431431591138262
Egr1,Ptgs2,8.413424045711322
Arg1,Efnb2,8.399449319889573
Canx,Pld4,8.399141556510171
Spats2,Smpd3,8.38506063231014
Bcl11b,Trbc2,8.380319557539602
Ebf1,Ighd,8.374387527764515
Ehf,Oit1,8.365866055699458
Pou2f2,Rpl3,8.364667922632366
Irf8,Gzma,8.360218498962453
Mxd3,Spc25,8.355937530780713
Nme1,Tmem160,8.355520542789511
Nkx2-1,Ttc36,8.351524236725059
Ets1,Nkg7,8.344744248733356
Irf8,S100a10,8.336944976272006
H2afz,Mxd3,8.330494332962058
Nfib,Antxr1,8.309572664457859
Irf7,Ifit1,8.30948227696697
Canx,Anxa5,8.301625768647929
Tcf7,Bcl2,8.281568768905775
Foxm1,Tpx2,8.27929421923677
Ehf,Sftpd,8.279212028489134
Ets1,Gimap1,8.275716777781582
Irf8,Retnlg,8.274307283901665
Dab2,Plet1,8.274036368810458
Anxa1,Ggt1,8.26846859030374
Gadd45a,Osgin1,8.253557528054351
Acaa1b,Krt79,8.253022556281138
Nkx2-1,Sftpb,8.240208433232583
Pou2f2,Ifitm3,8.240112163214592
Nkx2-1,Sfta2,8.234676001622086
Mxd3,Kif15,8.227043082976786
Ehf,Mia,8.217702316241835
Gadd45a,G0s2,8.21177159000765
Acaa1b,Il18,8.209127467931012
H2afz,Rrm1,8.208178469431505
Atf3,Ccl2,8.199000473808777
Klf4,Plac8,8.1973250101613
Klf4,S100a4,8.195600266895518
Ehf,Gsta4,8.194848968283337
Nfib,Col6a1,8.135111001227655
Tagln2,Phf11d,8.133372573558304
Acaa1b,Cidec,8.110022634039385
Ets1,Tgfbi,8.109333168131721
Foxm1,Mki67,8.104414367970858
Lmo2,Mecom,8.097677072844407
Canx,Psap,8.094221075620066
Gadd45a,Hist1h4i,8.052160238137224
Bcl11b,Skap1,8.037296911014867
Bhlhe41,Mgll,8.010468122519422
Bcl11b,Gprc5a,7.980366606217261
Bhlhe41,Pcyox1,7.952796471030172
Irf8,Clec4a3,7.944786771126555
Tcf7,Ets1,7.93901029155521
Ehf,Tst,7.936474362197439
H2afz,Cks1b,7.933159747954679
Foxm1,Ccnb1,7.9166193985348645
Nr2f2,Rbp4,7.9141044928727995
Canx,Retnlg,7.890466719272415
Ebf1,Fcmr,7.883154293533883
Bcl11b,Cd3e,7.882992934727974
Nme1,Canx,7.882944110974183
Tcf4,Ccnd1,7.879789403101246
Gadd45a,Wfdc17,7.86196804365126
Mafb,Crip1,7.854218701901723
Ckmt1,Gpx2,7.853572758839467
Pou2f2,Nr4a1,7.849806107479625
Cebpa,Ada,7.833447559102603
Anxa1,Serpinb1a,7.825856698530277
Irf8,Lyz2,7.81854852554635
Irf8,mt-Nd1,7.812304531707898
Irf8,Klrk1,7.810183807065175
Foxm1,Ska1,7.795217786927386
Irf8,Lamp1,7.779170312282469
H2afz,Cenpe,7.778110946997317
Pou2af1,Igkc,7.775592986171732
