TF,target,importance
Hmgn3,Edn1,8.248240811167609
Anxa1,Camp,8.246103500727099
Foxm1,Nuf2,8.24482101960286
Dbp,Ptprf,8.21283909231868
Anxa1,Kif23,8.21166009650526
Anxa1,Gimap1,8.195504865463036
Sox2,Wfdc3,8.174428745925743
Mef2c,Ighd,8.16799529141088
Nr2f2,Fbln1,8.127936006507715
Ets1,Ifi203,8.099387779937045
Mafb,Hpse,8.071074336622877
H2afz,Stmn1,8.06172197088712
Ebf1,Serpinb1a,8.060171501413143
Dab2,Mgll,8.036968432860014
Nr2f2,Serpinf1,8.016957947320815
Nr2f2,Serpinh1,8.013893358570142
Nfib,Nbl1,8.005854498092315
Anxa1,Hcar2,8.004372007015053
Ebf1,Cd22,7.998480052078197
Anxa1,Wfdc21,7.993986665724131
Nfix,Gm3336,7.983418765905832
Bcl11b,Trbc1,7.953903888008529
Ebf1,Scd1,7.949858013802229
Gata6,Hspb1,7.853125351397995
Nr1d1,Hbegf,7.830619731316187
Ets1,Sms,7.814410837304216
Tagln2,Alox12,7.814318114054598
Mafb,Tifab,7.803033883726555
Tcf4,Ccr9,7.802903408635669
Ebf1,Blnk,7.777139920233424
Tagln2,Pf4,7.77110665331066
Lef1,Cd28,7.739826435835392
Foxm1,Top2a,7.708591934893338
Dnmt1,9530077C05Rik,7.705702313867011
Tfec,Frmd4a,7.701889429603707
Nr2f2,Lhfp,7.692271756835761
Nr2f2,Clmp,7.681823598520072
Mecom,Myzap,7.6670739525475025
Mef2c,Tnfrsf13c,7.653605827592302
Ehf,Aldh3a1,7.646632041102643
Gata6,Dmkn,7.64273926642574
Mef2c,Ms4a1,7.63925697900706
Anxa1,Chil1,7.621551166438417
Ets1,Anxa1,7.620647583815647
Foxm1,Rrm2,7.606907298976143
Irf7,Ifit2,7.592915802477135
Nfib,Adamtsl5,7.592625341205614
Acaa1b,Plin2,7.590887494168025
Hspa5,Bpgm,7.5750010977298805
Anxa1,Jdp2,7.574795591643568
Nr2f2,Steap3,7.561530576503313
Nfib,C1ra,7.5601751084895925
Hivep3,Hacd1,7.557666780772236
Klf4,Spata7,7.554603049635588
Irf8,H2-Aa,7.544896694736223
Dbp,Mad2l1bp,7.53795640617412
Egr1,Mcpt8,7.5014162743621755
Zbtb20,Steap2,7.499171938088654
Zbtb20,Ccdc68,7.467094846356866
Anxa1,Vim,7.466925119067873
Mafb,Siva1,7.462578642491876
Tagln2,Gypa,7.421208449903567
Anxa1,Retnlg,7.4185444164855365
Ebf1,H2-DMb2,7.4181750879907975
Gadd45a,Retnlg,7.415168412158344
Nr1d1,Saa3,7.412229639254057
Mef2c,Gm31243,7.400460227344523
Mef2c,Cd79b,7.3996092531666475
Irf8,Itga2,7.395563826776091
Ebf1,Pax5,7.3953141128710325
H2afz,Klre1,7.384417053392959
Pou2f2,Slc12a2,7.3667945581903975
Pou2af1,Cd74,7.364605935956666
Sox4,Muc4,7.357714752342676
Anxa1,Ifitm1,7.353517781345669
Atf5,Tmem80,7.345645752654351
Irf7,Fcgbp,7.335972281605579
H2afz,Cks1b,7.3286716136284955
Mef2c,H2-DMb2,7.328379649794854
Anxa1,Ets1,7.322379296756868
Bcl11b,Itgb7,7.316040919894099
Atf5,Pkdcc,7.309493550510876
Id1,Ankrd1,7.300155928277065
Ebf1,Fcmr,7.286278070206491
Anxa1,Slc7a11,7.282893202295694
Egr1,Ccl3,7.268515637910039
Nr2f2,Pltp,7.257074462419563
H2afz,Crip1,7.242588747716425
Mxd3,Knstrn,7.242215243528287
Pou2af1,Gm4610,7.234070034292833
Cebpa,Ctss,7.233658071011774
Pax5,H2-Aa,7.226028742228943
Nme1,Cenpx,7.202442461436469
Irf8,Gpc1,7.1995330969303675
Ets1,4930523C07Rik,7.198162225792663
Irf7,Alox12,7.197989794575088
Ets1,Gimap7,7.190171031595433
Dab2,Lima1,7.1897859017230665
Anxa1,Gadd45a,7.1823975557852116
Tfec,AU020206,7.1755943889255756
Spats2,Eya2,7.164867648357852
Lef1,Cd3e,7.159095673235844
Pax5,Cd55,7.144948724395993
Foxm1,Hmmr,7.1266547239087386
Anxa1,Acod1,7.118303655497273
Nr2f2,Dpep1,7.116047387155915
Nkx2-1,Lmo7,7.115788813147505
Nfib,Pbx1,7.111968747106357
Ebf1,Pou2af1,7.111187663380215
Dab2,Cd63,7.107886727587552
Zeb2,Itgb2,7.104768119467764
Nr2f2,Cryab,7.104509399456186
Anxa1,Adam8,7.097702260318696
Ehf,Cldn7,7.0883351089073665
Egr1,Cks2,7.086918498403576
Nfib,Tgfbr3,7.082191088105427
Sox2,Myh14,7.0809327843843315
Egr1,Dnajb1,7.0778973626260235
Anxa1,Olfm4,7.067302526433554
Pou2af1,Iglc2,7.056682594564892
Nr2f2,Phlda1,7.055267842074297
Zbtb20,Fdx1,7.054788000970879
Irf8,Serpinb9,7.052566178724466
Nr2f2,Abi3bp,7.00985684329755
Nfib,Fhl1,6.982593526598177
Irx3,Sftpc,6.980752482488153
Arg1,Hal,6.967688597000765
Sox2,Muc5b,6.958418703159249
Msi2,Sapcd2,6.952142342613311
Tfec,Car4,6.944005313854879
Tagln2,Crip1,6.922231910008327
Dbp,Fxyd2,6.918667092106726
Ets1,Hsp90aa1,6.899042771693439
Arg1,Zranb3,6.892104849846944
Nr2f2,Serping1,6.880384069578548
Lmo2,Ebf1,6.874397823732107
H2afz,Racgap1,6.871691817152094
Mafb,Ms4a6d,6.86941769860522
Ets1,Ccl6,6.86899075081743
Nr4a1,Gm43936,6.856958973021634
Mafb,BC028528,6.855506472562799
Arg1,Ptgir,6.847729697589982
Mycl,Cadm1,6.843117097002921
Lef1,Cd3g,6.8311371551393565
Nr4a1,Cmpk2,6.831117792587245
Acaa1b,Ear2,6.82919917981621
Lef1,Gm20186,6.824366432452944
Nkx2-1,Lyz1,6.821860180820331
Nr2f2,Timp1,6.8190436025669525
Hspa5,Rsad2,6.817887391787341
Anxa1,Slpi,6.81562165447646
Ebf1,Id2,6.812624740522567
Nr2f2,Akap12,6.808250592414918
Gadd45a,Chil1,6.8034023927298595
Mef2c,Lmo2,6.799943548067922
Anxa1,Cd177,6.786703905584613
H2afz,Arc,6.785931097929917
