TF,target,importance
Ebf1,Tnfrsf13c,7.293361386818835
Bcl11b,Lat,7.270093194394483
Odc1,Ckap2,7.266696408637616
Zeb2,Nceh1,7.257909906629176
Irf8,Pgls,7.256920232621302
H2afz,Spag5,7.252158948513861
Id1,Lrg1,7.243227670204627
Yod1,Kitl,7.2356305777891645
Arg1,Laptm5,7.232125820151489
Ckmt1,Cd81,7.217921073425365
Irf8,Sh3bgrl,7.216934547995017
Ikzf3,Gimap6,7.211608645517184
Arg1,Dnajb1,7.19103370831879
Arg1,Egfr,7.170958360301146
Irf7,Atp1b1,7.169258205686228
Bcl11b,Ms4a4b,7.142000097981452
Irf7,Clic5,7.139390220196742
Hspa5,Hba-a2,7.139199396407831
Irf8,Emp3,7.131977427337572
Irf8,Lgals1,7.126860521192486
Zbtb20,Ccr9,7.115301528774041
Arg1,Sqstm1,7.10307721784522
Foxm1,Anln,7.0942428551492105
Irf7,Gprc5a,7.091526746064544
Pax5,Cd79a,7.09132436058391
Arg1,Emp1,7.081778893486021
Hivep3,Tcaf1,7.073083484243427
Egr1,G0s2,7.0678948194564235
Ikzf3,Abi3bp,7.048125587788463
Arg1,Slco2a1,7.032258276771737
Egr1,F630028O10Rik,7.031980528101946
Bhlhe41,Lrp1,7.024909211313459
Bhlhe41,Ctsk,7.019467546890911
Ikzf3,Ptprcap,7.00610898681011
Dab2,Gm19951,6.986389762403294
Ikzf3,Lck,6.948821905756265
Tcf4,Smpd3,6.940273397373973
Zeb2,Sapcd2,6.937640418841249
Maf,Depdc1a,6.930680394629104
Arg1,Glrx,6.921377972564538
Id1,Egr1,6.913092100783083
Irf7,Nrarp,6.907991197214134
H2afz,Mycl,6.894002075216771
Pou2f2,Ms4a4c,6.892559642880237
Anxa1,Enpp3,6.878606945579044
Irf7,Csrp1,6.863085949431155
Arg1,Hebp2,6.8547112324868165
Ikzf3,Ctsw,6.84510921747292
Arg1,Clic3,6.839731519740724
Dnmt3a,Npc2,6.817161912965296
Arg1,Epcam,6.816149984925339
Mafb,Msr1,6.8102386245595286
Anxa1,Lmo7,6.8097622894279946
Pparg,Rhoj,6.806637175475271
Irf7,Tspan1,6.80018390711012
Adarb1,Ly75,6.795141491989962
Elf5,S100a3,6.791039760254486
Gadd45a,Prok2,6.786165561964383
H2afz,Stxbp6,6.780058324448384
Ets1,Gm8369,6.747339252151587
Hspa5,Creld2,6.742754678266613
Elf5,Ces1d,6.741375923658087
Nap1l1,Ifi205,6.700252725213769
Gata6,Tspan11,6.697406071643093
Pbx1,Tfrc,6.689781668545925
Irf7,Lmo7,6.687288400372394
Cebpa,Ackr3,6.6812159330006065
Egr1,Cxcl2,6.672766549472429
Tagln2,Mettl17,6.667234803342431
Atf3,Vegfa,6.658643616320261
